feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GGB9454	week	day4	-0.0833333333333475	0.0589255653117472	48	1	0.166665131935432	0.243221485114841
GGB9454	week	day8	-0.0833333333333475	0.0589255653117472	48	1	0.166665131940794	0.243221485114841
GGB9474	group	R	-0.692618978850505	0.477781474247315	48	4	0.154409205243815	0.243221485114841
GGB9480	week	day12	-0.083333333333376	0.05892556531848	48	1	0.166665132005363	0.243221485114841
GGB9480	week	day4	-0.083333333333376	0.05892556531848	48	1	0.166665132008108	0.243221485114841
GGB9480	week	day8	-0.083333333333376	0.05892556531848	48	1	0.166665132001069	0.243221485114841
GGB9509	week	day12	-0.509255022326962	0.299385270671113	48	2	0.0961646165657747	0.243221485114841
GGB9509	week	day4	-0.509255022326962	0.299385270671113	48	2	0.0961646165657743	0.243221485114841
GGB9509	week	day8	-0.509255022326962	0.299385270671113	48	2	0.0961646165657747	0.243221485114841
GGB9513	week	day12	-0.0833333333333167	0.0589255653161665	48	1	0.16666513200764	0.243221485114841
GGB9513	week	day4	-0.0833333333333167	0.0589255653161665	48	1	0.166665132010452	0.243221485114841
GGB9513	week	day8	-0.0833333333333167	0.0589255653161665	48	1	0.166665132012565	0.243221485114841
GGB9532	week	day12	-0.610160674573886	0.37182607480555	48	2	0.110299118160877	0.243221485114841
GGB9532	week	day4	-0.610160674573886	0.37182607480555	48	2	0.11029911815739	0.243221485114841
GGB9532	week	day8	-0.610160674573886	0.37182607480555	48	2	0.11029911816376	0.243221485114841
GGB9536	group	R	-0.0624999999999912	0.0436772651201067	48	1	0.159672223159051	0.243221485114841
GGB9536	week	day12	-0.0833333333333334	0.0582363534934756	48	1	0.159672223159014	0.243221485114841
GGB9536	week	day4	-0.0833333333333334	0.0582363534934756	48	1	0.159672223159014	0.243221485114841
GGB9536	week	day8	-0.0833333333333334	0.0582363534934756	48	1	0.159672223159014	0.243221485114841
GGB9537	week	day12	-0.721517623562676	0.449752320162457	48	2	0.118187068410456	0.243221485114841
GGB9537	week	day4	-0.721517623562676	0.449752320162457	48	2	0.118187068410142	0.243221485114841
GGB9537	week	day8	-0.721517623562676	0.449752320162457	48	2	0.118187068412306	0.243221485114841
GGB9543	week	day12	-0.0833333333333357	0.0589255653144458	48	1	0.166665132031444	0.243221485114841
GGB9543	week	day4	-0.0833333333333357	0.0589255653144458	48	1	0.166665132032878	0.243221485114841
GGB9543	week	day8	-0.0833333333333357	0.0589255653144458	48	1	0.166665132031216	0.243221485114841
GGB9551	week	day12	-0.083333333333319	0.058925565315487	48	1	0.16666513199502	0.243221485114841
